# Wiki article overrides. Fill in the 3rd column, then re-run:  Main wiki  (then changelog + page).
# Format (TAB-separated):  language <TAB> tag <TAB> value
#   value = exact Wikipedia article title  (e.g. 阿拉伯帝国)  OR  a full URL  (e.g. https://zh.wikipedia.org/wiki/阿拉伯帝国)
# The 3rd column below is the game name that FAILED to auto-match — REPLACE it with the correct title/URL.
# To skip an entry (e.g. the HD_CODIFIER_* placeholders, which are not real people): delete the line or clear its 3rd column.
# Verified format examples (already fetched, kept commented for reference):
#   zh_Hans_CN	CIVILIZATION_MACEDON	马其顿王国
#   zh_Hans_CN	LEADER_PHILIP_II	腓力二世 (西班牙)
en_US	LEADER_KUBLAI_KHAN_MONGOLIA	https://en.wikipedia.org/wiki/Kublai_Khan
en_US	GREAT_PERSON_INDIVIDUAL_POLYCLITUS_HD	https://en.wikipedia.org/wiki/Polykleitos
en_US	GREAT_PERSON_INDIVIDUAL_ARTEMISIA	https://en.wikipedia.org/wiki/Artemisia_Gentileschi
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_9	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_5	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_6	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_7	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_8	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_1	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_2	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_3	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_4	
en_US	GREAT_PERSON_INDIVIDUAL_CWON_DANTE	https://en.wikipedia.org/wiki/Dante_Alighieri
en_US	GREAT_PERSON_INDIVIDUAL_JNR_LI_BING	https://en.wikipedia.org/wiki/Li_Bing_(Qin)
en_US	GREAT_PERSON_INDIVIDUAL_PHANTA_CHEN_LIN	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_24	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_23	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_22	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_21	
en_US	GREAT_PERSON_INDIVIDUAL_CWON_MOLIERE	https://en.wikipedia.org/wiki/Moli%C3%A8re
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_20	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_19	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_18	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_13	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_12	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_11	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_10	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_17	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_16	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_15	
en_US	GREAT_PERSON_INDIVIDUAL_HD_CODIFIER_14	
en_US	BUILDING_BROADWAY	https://en.wikipedia.org/wiki/Broadway_theatre
en_US	BUILDING_HERMITAGE	https://en.wikipedia.org/wiki/Hermitage_Museum
en_US	BUILDING_COLOSSUS	https://en.wikipedia.org/wiki/Colosseum
en_US	NAT_WONDER_CL_COLLEGE	
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_KINICH_KAN_BAHLAM	https://zh.wikipedia.org/wiki/坎巴拉姆二世
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE	https://zh.wikipedia.org/wiki/圣乔治的詹姆斯
zh_Hans_CN	BUILDING_BIOSPHERE	https://zh.wikipedia.org/wiki/生物圈二号
en_US	BUILDING_BIOSPHERE	https://en.wikipedia.org/wiki/Biosphere_2
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS	SKIP
en_US	GREAT_PERSON_INDIVIDUAL_GAIUS_DUILIUS	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HIMERIOS	SKIP
en_US	GREAT_PERSON_INDIVIDUAL_HIMERIOS	SKIP

# --- audit corrections (agent-verified wrong matches; SKIP -> game history) ---
zh_Hans_CN	BUILDING_APADANA	阿帕达纳宫
zh_Hans_CN	BUILDING_COLOSSUS	罗得岛太阳神巨像
zh_Hans_CN	BUILDING_GREAT_BATH	摩亨佐-达罗
zh_Hans_CN	BUILDING_GREAT_LIBRARY	亚历山大图书馆
zh_Hans_CN	BUILDING_HUEY_TEOCALLI	特诺奇蒂特兰大神庙
zh_Hans_CN	BUILDING_KILWA_KISIWANI	基尔瓦基斯瓦尼
zh_Hans_CN	BUILDING_MEENAKSHI_TEMPLE	米纳克希神庙
zh_Hans_CN	BUILDING_RUHR_VALLEY	鲁尔区
zh_Hans_CN	BUILDING_STATUE_OF_ZEUS	奥林匹亚宙斯神像
zh_Hans_CN	NAT_WONDER_CL_NATIONALEPIC	SKIP
zh_Hans_CN	NAT_WONDER_CL_THEMEPARK	SKIP
zh_Hans_CN	NAT_WON_CL_AIRPORT	SKIP
zh_Hans_CN	NAT_WON_CL_FINANCE	SKIP
zh_Hans_CN	WON_CL_KINKAKU	鹿苑寺
zh_Hans_CN	CIVILIZATION_CREE	克里族
zh_Hans_CN	CIVILIZATION_KHMER	高棉帝国
zh_Hans_CN	CIVILIZATION_SUK_SWAHILI	斯瓦希里人
zh_Hans_CN	LEADER_AMANITORE	阿曼尼托雷
zh_Hans_CN	LEADER_ALEXANDER	亚历山大大帝
zh_Hans_CN	LEADER_BASIL	巴西尔二世
zh_Hans_CN	LEADER_CATHERINE_DE_MEDICI_ALT	凯瑟琳·德·美第奇
zh_Hans_CN	LEADER_CVS_DIHYA	卡希纳
zh_Hans_CN	LEADER_ELEANOR_ENGLAND	阿基坦的埃莉诺
zh_Hans_CN	LEADER_GEDEMO_MUTOTA	SKIP
zh_Hans_CN	LEADER_HARDRADA	哈拉尔三世 (挪威)
zh_Hans_CN	LEADER_HARALD_ALT	蓝牙王哈拉尔
zh_Hans_CN	LEADER_LEU_PACAL	巴加尔二世
zh_Hans_CN	LEADER_POUNDMAKER	庞德梅克
zh_Hans_CN	LEADER_SUK_AL_HASAN	SKIP
zh_Hans_CN	LEADER_TAMAR	塔玛拉 (格鲁吉亚)
zh_Hans_CN	LEADER_T_ROOSEVELT_ROUGHRIDER	西奥多·罗斯福
zh_Hans_CN	LEADER_VICTORIA	维多利亚女王
zh_Hans_CN	LEADER_VICTORIA_ALT	维多利亚女王
zh_Hans_CN	LEADER_WU_ZETIAN	武则天
zh_Hans_CN	LEADER_YONGLE	明成祖
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI	宰赫拉威
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ANA_NZINGA	恩津加·姆班迪
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ANGELICA_KAUFFMAN	安杰丽卡·考夫曼
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ANTONIO_CARLOS_GOMEZ	卡洛斯·戈梅斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_BHASA	跋娑
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_BORIS_ORLOVSKY	鲍里斯·奥洛夫斯基
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_CHARLES_CORREA	查尔斯·柯里亚
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_CLANCY_FERNANDO	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COLAEUS	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MACGREGOR	格雷戈尔·麦格雷戈尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MARINO	圣地亚哥·马里尼奥
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_MONTILLA	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_PIAR	曼努埃尔·皮亚尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_COMMANDANTE_RIBAS	何塞·菲利克斯·里瓦斯
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_CWON_JOHN_DONNE	约翰·多恩
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_DANDARA	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_DIMITRIE_CANTEMIR	德米特里·坎特米尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET	埃米莉·杜·夏特莱
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_EDMONIA_LEWIS	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_EL_CID	熙德
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ESTEE_LAUDER	雅诗兰黛
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_GAUHAR_JAAN	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_GISLEBERTUS_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HAJI_HUUD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HD_ALI_MUGHAYAT_SYAH	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_HELENA_RUBINSTEIN	赫莲娜
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JAMES_YOUNG	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JANAKI_AMMAL	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JANE_DREW	简·德鲁
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JOHN_A_ROEBLING	约翰·奥古斯都·罗布林
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JOHN_SPILSBURY	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_JU_SHI_LIN_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_KAMAL_UD_DIN_BEHZAD	贝赫扎德
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LASKARINA_BOUBOULINA	拉斯卡瑞娜·鲍宝丽娜
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_LIU_XI_JUN_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MADHVA_ACHARYA	摩陀婆
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MAO_MIN_ZHONG_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MAO_YAN_SHOU_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH	玛格丽特·卡文迪什
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARGARET_MEAD	玛格丽特·米德
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARIE_ANNE_COLLOT	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARY_KATHERINE_GODDARD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MARY_LEAKEY	玛丽·利基
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MELITTA_BENTZ	梅丽塔·本茨
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_MYKOLA_LEONTOVYCH	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_PIERO_DE_BARDI	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ROBERT_GODDARD	罗伯特·戈达德
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SHAH_JAHAN	沙贾汗
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SIMON_BOLIVAR	西蒙·玻利瓦尔
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SIMON_PETER	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_STEPHANIE_KWOLEK	斯蒂芬妮·克沃勒克
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_SONGTSAN_GAMPO	松赞干布
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_TANG_YING_ZENG_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_TOMAS_LUIS_DE_VICTORIA_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_VIJAYA_WIMALARATNE	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_YATSUHASHI_KENGYO	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_XIAO_LUAN_HD	SKIP
zh_Hans_CN	GREAT_PERSON_INDIVIDUAL_ZHU_BI_SHAN_HD	SKIP
